Document Class, Accuracy
atheism, 0.746081504702194
graphics, 0.822622107969152
mswindows, 0.620865139949109
pc, 0.727040816326531
mac, 0.763636363636364
xwindows, 0.783163265306122
forsale, 0.733333333333333
autos, 0.931645569620253
motorcycles, 0.952261306532663
baseball, 0.914357682619647
hockey, 0.979949874686717
cryptology, 0.952020202020202
electronics, 0.689567430025445
medicine, 0.871212121212121
space, 0.916243654822335
christianity, 0.934673366834171
guns, 0.925824175824176
mideastpolitics, 0.898936170212766
politics, 0.583870967741935
religion, 0.450199203187251
