Words Removed, Accuracy
0,0.810415836322572
1,0.814268632921483
2,0.815862893583101
3,0.815198618307427
4,0.815730038527966
5,0.81639431380364
6,0.816792878969045
7,0.816261458748505
8,0.817590009299854
9,0.818519994685798
10,0.818121429520393
11,0.818254284575528
12,0.819184269961472
13,0.818918559851202
14,0.819184269961472
15,0.818918559851202
16,0.819317125016607
17,0.819184269961472
18,0.819582835126877
19,0.819317125016607
20,0.819051414906337
21,0.818918559851202
22,0.819051414906337
23,0.819317125016607
24,0.818785704796067
25,0.818918559851202
26,0.819317125016607
27,0.819051414906337
28,0.819715690182011
29,0.819449980071742
30,0.819449980071742
31,0.815464328417696
32,0.815464328417696
33,0.815464328417696
34,0.815464328417696
35,0.815464328417696
36,0.815464328417696
37,0.815464328417696
38,0.815464328417696
39,0.815464328417696
40,0.815464328417696
41,0.815464328417696
42,0.815464328417696
43,0.815464328417696
44,0.815464328417696
45,0.815464328417696
46,0.815464328417696
47,0.815464328417696
48,0.815464328417696
49,0.815464328417696
50,0.815464328417696
